Temp,Entropy
0.01,0
4,0.061
5,0.0761
6,0.0912
8,0.1212
10,0.151
11,0.1658
12,0.1806
13,0.1953
14,0.2099
15,0.2245
16,0.239
17,0.2535
18,0.2679
19,0.2823
20,0.2966
21,0.3109
22,0.3251
23,0.3393
24,0.3534
25,0.3674
26,0.3814
27,0.3954
28,0.4093
29,0.4231
30,0.4369
31,0.4507
32,0.4644
33,0.4781
34,0.4917
35,0.5053
36,0.5188
38,0.5458
40,0.5725
45,0.6387
50,0.7038
55,0.7679
60,0.8312
65,0.8935
70,0.9549
75,1.0155
80,1.0753
85,1.1343
90,1.1925
95,1.25
100,1.3069
110,1.4185
120,1.5276
130,1.6344
140,1.7391
150,1.8418
160,1.9427
170,2.0419
180,2.1396
190,2.2359
200,2.3309
210,2.4248
220,2.5178
230,2.6099
240,2.7015
250,2.7927
260,2.8838
270,2.9751
280,3.0668
290,3.1594
300,3.2534
320,3.448
340,3.6594
360,3.9147
374.14,4.4298
360,5.0526
340,5.3357
320,5.5362
300,5.7045
290,5.7821
280,5.8571
270,5.9301
260,6.0019
250,6.073
240,6.1437
230,6.2146
220,6.2861
210,6.3585
200,6.4323
190,6.5079
180,6.5857
170,6.6663
160,6.7502
150,6.8379
140,6.9299
130,7.0269
120,7.1296
110,7.2387
100,7.3549
95,7.4159
90,7.4791
85,7.5445
80,7.6122
75,7.6824
70,7.7553
65,7.831
60,7.9096
55,7.9913
50,8.0763
45,8.1648
40,8.257
38,8.295
36,8.3336
35,8.3531
34,8.3728
33,8.3927
32,8.4127
31,8.4329
30,8.4533
29,8.4739
28,8.4946
27,8.5156
26,8.5367
25,8.558
24,8.5794
23,8.6011
22,8.6229
21,8.645
20,8.6672
19,8.6897
18,8.7123
17,8.7351
16,8.7582
15,8.7814
14,8.8048
13,8.8285
12,8.8524
11,8.8765
10,8.9008
8,8.9501
6,9.0003
5,9.0257
4,9.0514
0.01,9.1562
